pipeline_pair,structure,t,p,cohen_d,n,p_adj
FS8001_vs_Samseg8,Right-Hippocampus,5.526738806052821,3.569680085013592e-08,0.18127319810236853,4229,3.212712076512233e-06
FS8001_vs_Samseg8,Right-Pallidum,5.9176464387900936,3.6454047819921913e-09,0.19200692742086406,4229,3.280864303792972e-07
FS8001_vs_Samseg8,Right-Putamen,6.566713649260488,6.120854397603545e-11,0.21500996068285458,4229,5.508768957843191e-09
FS8001_vs_Samseg8,Right-Thalamus,12.353508603554356,4.17532388524658e-34,0.40894204870245565,4229,3.757791496721922e-32
FSL6071_vs_FS741,Brainstem,-0.17178456601975844,0.8636196293128754,-0.0056371294042182555,4229,1.0
FSL6071_vs_FS741,Left-Accumbens-area,7.345136756774085,2.669024656643496e-13,0.23928653359976762,4229,2.4021221909791465e-11
FSL6071_vs_FS741,Left-Amygdala,7.813250283630944,8.133793981329086e-15,0.26008879941498575,4229,7.320414583196178e-13
FSL6071_vs_FS741,Left-Caudate,1.3359730867864406,0.1816316915890259,0.0387135981336758,4229,1.0
FSL6071_vs_FS741,Left-Hippocampus,5.90526146224774,3.919088223339023e-09,0.19102941499159465,4229,3.5271794010051204e-07
FSL6071_vs_FS741,Left-Pallidum,14.588428723368521,1.5918666396278381e-46,0.4763274164573553,4229,1.4326799756650542e-44
FSL6071_vs_FS741,Left-Putamen,1.4470124175952397,0.1479795685795224,0.045126452702875935,4229,1.0
FSL6071_vs_FS741,Left-Thalamus,0.36938369123073783,0.7118671442347954,0.01187919403830325,4229,1.0
FSL6071_vs_FS741,Right-Accumbens-area,4.951911488084855,7.76903887702556e-07,0.16083962406084681,4229,6.992134989323004e-05
FSL6071_vs_FS741,Right-Amygdala,8.641624824760532,9.506500662308496e-18,0.28582780352602,4229,8.555850596077647e-16
FSL6071_vs_FS741,Right-Caudate,5.381872887346406,7.954430439130227e-08,0.17460326376782173,4229,7.158987395217204e-06
FSL6071_vs_FS741,Right-Hippocampus,8.11758064221964,7.032810332385438e-16,0.2650422737094314,4229,6.329529299146894e-14
FSL6071_vs_FS741,Right-Pallidum,9.932094261113713,7.265046981353915e-23,0.3253354098819575,4229,6.538542283218523e-21
FSL6071_vs_FS741,Right-Putamen,2.4232359676285897,0.015431542671940749,0.07561658422554225,4229,1.0
FSL6071_vs_FS741,Right-Thalamus,-1.0927022117409562,0.2746037696374168,-0.034675688637834545,4229,1.0
FSL6071_vs_FS8001,Brainstem,0.00032413571751542937,0.9997414005515881,1.0618178020890549e-05,4229,1.0
FSL6071_vs_FS8001,Left-Accumbens-area,4.171157193732151,3.1214010899298204e-05,0.13598708707419904,4229,0.0028092609809368383
FSL6071_vs_FS8001,Left-Amygdala,13.015936341873655,1.651221134312078e-37,0.4342460447210277,4229,1.48609902088087e-35
FSL6071_vs_FS8001,Left-Caudate,2.791434993082011,0.005271367645806453,0.08368426609013714,4229,0.4744230881225808
FSL6071_vs_FS8001,Left-Hippocampus,7.703256000686896,1.8033787504357462e-14,0.24994254328484136,4229,1.6230408753921717e-12
FSL6071_vs_FS8001,Left-Pallidum,-5.981122643612035,2.4095137979199347e-09,-0.1821598681357,4229,2.1685624181279412e-07
FSL6071_vs_FS8001,Left-Putamen,5.653779418026061,1.7067112135733164e-08,0.1804579168761651,4229,1.5360400922159849e-06
FSL6071_vs_FS8001,Left-Thalamus,-1.6352071839864677,0.10210239593392344,-0.05209268036294594,4229,1.0
FSL6071_vs_FS8001,Right-Accumbens-area,8.020435822410093,1.5220138230722126e-15,0.2612113108421977,4229,1.3698124407649913e-13
FSL6071_vs_FS8001,Right-Amygdala,9.376945840726622,1.4179935436692854e-20,0.309686671818109,4229,1.276194189302357e-18
FSL6071_vs_FS8001,Right-Caudate,5.389310112367616,7.663942858441023e-08,0.17625101727383996,4229,6.89754857259692e-06
FSL6071_vs_FS8001,Right-Hippocampus,5.629271913102802,1.990418279265536e-08,0.1841621175278504,4229,1.7913764513389825e-06
FSL6071_vs_FS8001,Right-Pallidum,-5.328858562355478,1.0457692557600937e-07,-0.16465268280069784,4229,9.411923301840843e-06
FSL6071_vs_FS8001,Right-Putamen,4.262709588273661,2.0764791348359694e-05,0.1355714214738079,4229,0.0018688312213523725
FSL6071_vs_FS8001,Right-Thalamus,0.46465125933918,0.6422104194279289,0.014632523791739757,4229,1.0
FSL6071_vs_Samseg8,Brainstem,2.483170996573172,0.013081514027561287,0.08149587810296528,4229,1.0
FSL6071_vs_Samseg8,Left-Accumbens-area,5.790494731637154,7.78169606793166e-09,0.18857115791849358,4229,7.003526461138494e-07
FSL6071_vs_Samseg8,Left-Amygdala,6.620128492581931,4.373227974200707e-11,0.22028472415203093,4229,3.9359051767806366e-09
FSL6071_vs_Samseg8,Left-Caudate,0.4246743356961066,0.6710960136715716,0.012360579535630679,4229,1.0
FSL6071_vs_Samseg8,Left-Hippocampus,6.980445342677255,3.6341978199721983e-12,0.22686882669962483,4229,3.2707780379749783e-10
FSL6071_vs_Samseg8,Left-Pallidum,-8.24023694585765,2.275436998595922e-16,-0.24658878197762513,4229,2.0478932987363298e-14
FSL6071_vs_Samseg8,Left-Putamen,-1.9456553386304205,0.05177708201622588,-0.06129271449066397,4229,1.0
FSL6071_vs_Samseg8,Left-Thalamus,14.263467418127645,8.711429538378352e-45,0.45638188776396055,4229,7.840286584540517e-43
FSL6071_vs_Samseg8,Right-Accumbens-area,11.372954042629436,2.5887175770125947e-29,0.3734064707951094,4229,2.3298458193113352e-27
FSL6071_vs_Samseg8,Right-Amygdala,6.647306030127582,3.594875078449832e-11,0.21834577369440272,4229,3.2353875706048486e-09
FSL6071_vs_Samseg8,Right-Caudate,3.5191457326801006,0.0004390707347766393,0.11274990397884296,4229,0.039516366129897534
FSL6071_vs_Samseg8,Right-Hippocampus,8.671438884921463,7.107131052389475e-18,0.2834718904119008,4229,6.396417947150527e-16
FSL6071_vs_Samseg8,Right-Pallidum,-5.00840920418324,5.720622025063846e-07,-0.15173968264339965,4229,5.148559822557461e-05
FSL6071_vs_Samseg8,Right-Putamen,2.935991272490369,0.003347498717397406,0.09305855970900428,4229,0.30127488456576657
FSL6071_vs_Samseg8,Right-Thalamus,11.151619519941633,2.164600062424453e-28,0.3521975225614664,4229,1.9481400561820077e-26
