pipeline_pair,structure,r,p,n,p_adj
FSL6071_vs_FS8001,Brainstem,0.22900576069552667,1.914222637582852e-51,4229,1.722800373824567e-49
FSL6071_vs_FS8001,Left-Accumbens-area,0.1330949597248543,3.580002555838231e-18,4229,3.2220023002544076e-16
FSL6071_vs_FS8001,Left-Amygdala,-0.2221197620370231,1.992384085060632e-48,4229,1.793145676554569e-46
FSL6071_vs_FS8001,Left-Caudate,-0.24685147644660727,9.694435461950643e-60,4229,8.724991915755579e-58
FSL6071_vs_FS8001,Left-Hippocampus,-0.21448245139455946,3.3749966192901975e-45,4229,3.037496957361178e-43
FSL6071_vs_FS8001,Left-Pallidum,0.18290499363843038,3.902496884416483e-33,4229,3.5122471959748346e-31
FSL6071_vs_FS8001,Left-Putamen,-0.17750840023259276,2.8144017904358513e-31,4229,2.5329616113922664e-29
FSL6071_vs_FS8001,Left-Thalamus,0.1637053071878859,8.646927224373542e-27,4229,7.7822345019361885e-25
FSL6071_vs_FS8001,Right-Accumbens-area,0.11723868112252554,2.0372533519792107e-14,4229,1.8335280167812896e-12
FSL6071_vs_FS8001,Right-Amygdala,-0.30829911837126167,8.44675640325761e-94,4229,7.60208076293185e-92
FSL6071_vs_FS8001,Right-Caudate,-0.32667410046043893,9.781063260392173e-106,4229,8.802956934352955e-104
FSL6071_vs_FS8001,Right-Hippocampus,-0.2891651187915684,2.99887981094321e-82,4229,2.698991829848889e-80
FSL6071_vs_FS8001,Right-Pallidum,0.30105452173305863,2.5332272640376527e-89,4229,2.2799045376338874e-87
FSL6071_vs_FS8001,Right-Putamen,-0.3406489720459148,2.1845007698462805e-115,4229,1.9660506928616526e-113
FSL6071_vs_FS8001,Right-Thalamus,0.1460436711342987,1.3513325485866335e-21,4229,1.21619929372797e-19
FSL6071_vs_Samseg8,Brainstem,-0.017923466247029868,0.2438871791646408,4229,1.0
FSL6071_vs_Samseg8,Left-Accumbens-area,0.22574264267936991,5.302381987496154e-50,4229,4.7721437887465386e-48
FSL6071_vs_Samseg8,Left-Amygdala,0.07345496401524167,1.736626648343464e-06,4229,0.00015629639835091177
FSL6071_vs_Samseg8,Left-Caudate,-0.17562214825457223,1.2162607235030405e-30,4229,1.0946346511527364e-28
FSL6071_vs_Samseg8,Left-Hippocampus,0.1119558132776023,2.848240462931075e-13,4229,2.5634164166379673e-11
FSL6071_vs_Samseg8,Left-Pallidum,0.36387551547531355,1.4451959854022685e-132,4229,1.3006763868620417e-130
